10,7,,,"Panama", 
15,12,,,"Panama", 
25,16,"171 Old Bakery Street","Valletta","Malta", 
36,25,,"Havana","Cuba", 
39,27,,"Managua","Nicaragua", 
41,29,"Bal Harbour Shopping Center, Via Italia","Panama City","Panama", 
66,41,"Avenida de Concha, Espina 8, E-28036","Madrid","Spain", 
137,102,,,, 
150,111,,"Milan","Italy", 
158,117,,,"Panama", 
172,128,,,"Panama", 
173,129,"Ibex House, The Minories","London EC3N 1DY","United Kingdom", 
224,164,"60 South Street","Valletta","Malta", 
276,180,,"Colon Free Zone","Panama", 
306,199,"Zweierstrasse 35","Zurich CH-8022","Switzerland", 
306,200,"Avenida de Concha Espina 8","Madrid E-28036","Spain", 
306,201,"Dai-Ichi Bldg. 6th Floor, 10-2 Nihombashi, 2-chome, Chuo-ku","Tokyo 103","Japan", 
306,202,"Federico Boyd Avenue & 51 Street","Panama City","Panama", 
342,222,,,"Panama", 
350,228,"24 Corner Regent and Kings Streets","Belize City","Belize", 
406,238,,,"Panama", 
416,242,"1078 Rue Champigny, Duvernay","Quebec","Canada", 
424,247,"42 Via Brasil","Panama City","Panama", 
439,259,,,"Kuwait", 
450,265,,,"Panama", 
458,266,,,"Panama", 
464,267,,,"Spain", 
472,268,"125-133 Camden High Street","London NW1 7JR","United Kingdom", 
473,269,,,"Panama", 
474,270,,,"Panama", 
475,271,,,"Spain", 
475,272,,,"Mexico", 
476,273,,"Panama City","Panama", 
479,275,,,"Panama", 
480,276,,"Panama City","Panama", 
520,306,,,"Panama", 
521,307,"20 Ironmonger Lane","London EC2V 8EY","United Kingdom", 
531,315,,,, 
533,316,,"Milan","Italy", 
535,317,"Emerson No. 148 Piso 7","Mexico, D.F. 11570","Mexico", 
536,318,,,"Spain", 
537,319,,,"Panama", 
540,321,,,"Spain", 
541,322,,,"Panama", 
543,324,,,"Panama", 
544,325,,,"Panama", 
551,328,,,"Panama", 
552,329,"Jose Lazaro Galdeano 6-6","Madrid 28016","Spain", 
554,330,,"Panama City","Panama", 
555,331,,"Paris","France", 
559,334,,,"Spain", 
560,335,,"Caracas","Venezuela", 
562,336,,,"Panama", 
563,337,,,"Panama", 
575,345,"San Martin 323, 4th Floor","Buenos Aires","Argentina", 
576,346,,,"Panama", 
577,347,,,"Spain", 
578,348,,"Milan","Italy", 
586,355,,"Milan","Italy", 
587,356,"Dai-Ichi Bldg. 6th Floor, 10-2 Nihombashi, 2-chome, Chuo-ku","Tokyo 103","Japan", 
589,357,,"Buenos Aires","Argentina", 
590,358,,"Cancun","Mexico", 
591,359,,,"Spain", 
592,360,,,"Spain", 
593,361,,,"Italy", 
621,362,"Baja California 255, Edificio B. Oficina 103, Condesa","Mexico, D.F. 06500","Mexico", 
622,363,,,"Spain", 
624,364,,,"Panama", 
636,365,"1649 Adolfo Prieto, Colonia del Valle","Mexico City","Mexico", 
637,366,"Boezembolcht 23","Rotterdam","Netherlands", 
649,374,"Cubanatur, Baja California 255, Edificio B., Oficina 103, Condesa","Mexico, D.F. 06500","Mexico", 
650,375,,,"Panama", 
651,376,"Case Postale 236, 10 Bis Rue Du Vieux College 12-11","Geneva","Switzerland", 
654,378,,"Panama City","Panama", 
656,379,"Paseo De La Castellana 157","Madrid","Spain", 
